Nom,Domaine(s),Présentation,Statut juridique,Région(s),Numéro SIREN,URL fiche URSCOP,Adresse,Adhérent CoopTech,Notes
Widip,,Hébergement informatique en Cloud privé,SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/widip?field_code_naf=&field_depart=All&field_secteur_activite_structure=1874&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Wl Informatique,,"Toutes prestations de services et maintenances, formation dans le domaine de l'informatique, téléphone et distribution de produits.",SCOP,Grand Est (FR),,https://www.les-scop.coop/wl-informatique,,,
#Aptic,SCIC,Nouvelle-Aquitaine (FR),"concevoir, développer, déployer et mettre en œuvre des solution et des services qui permettent de rapprocher des publics éloignés du numérique.",https://www.les-scop.coop/aptic?field_code_naf=&page=96&selector=.js-view-dom-id-952813ef72cf7de845e67dd7594fac5e5e15f570cfc9d3e977101415dd7f1763
Apidae Tourisme,,"Plateforme numérique de mise en relation des acteurs du tourisme pour gérer, lier et diffuser les données touristiques.",SCIC,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/apidae-tourisme,,,
Applications Web Pour Associations,,Développement et maintenance d'outils numériques et graphiques d'aides à la gestion des associations.,SCIC,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/applications-web-pour-associations?page=4,,,
Coopcircuits,,Mise à disposition mutualisée de portails de gestion numériques soutenant l'organisation des circuits courts. Animation de communautés apprenantes...,SCIC,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/coopcircuits?field_code_naf=&field_depart=1424&field_secteur_activite_structure=All&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Game In Lab,,Production de services de Playtests,SCIC,Hauts-de-France (FR),,https://www.les-scop.coop/game-in-lab?federation=federations/3/&field_code_naf=&page=43,,,
Jardin Doctets,,plateforme de vente en ligne destinée aux sociétaires de la SCIC.. Proposer des services numériques. Promouvoir le logiciel de gestion. Mutualiser les...,SCIC,Occitanie (FR),,https://www.les-scop.coop/jardin-doctets?field_code_naf=&field_depart=All&field_secteur_activite_structure=1874&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
La Mednum,,Conseil en systèmes et logiciels informatiques.,SCIC,Île-de-France (FR),,https://www.les-scop.coop/la-mednum?page=4,,,
Louty,,Développement de solutions informatiques de gestion des entreprises de l'ESS. Conseil en gestion et en organisation des systèmes d'informations.,SCIC,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/louty?field_code_naf=&field_depart=All&field_secteur_activite_structure=1874&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Lune Bleue,,"Programmation, conception et développement et de produits numériques, conseils, activités de design, formation, coworking.",SCIC,Occitanie (FR),,https://www.les-scop.coop/lune-bleue?field_code_naf=&page=11&selector=.js-view-dom-id-2587f8e44cf9c3af95fdb218b23fa72a45fe0c881655bd3c3bd46c231dcf11c6,,,
Massifix,,"Offrir l'accès internet très haut débit à des coûts compétitifs par un lieu d'interconnexion local, neutre et ouvert.",SCIC,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/massifix?field_code_naf=&page=11,,,
Mnemotix,,SSII spécialisé en ingénierie des connaissances et web sémantique,SCIC,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/mnemotix?page=11,,,
Mobicoop,,"Invente, promeut, opère toutes formes de mobilité partagée, accessible et libérée",SCIC,Grand Est (FR),,https://www.les-scop.coop/mobicoop?page=4,,,
Odass,,Accompagnement numérique des acteurs et actrices sociaux et solidaires.,SCIC,Île-de-France (FR),,https://www.les-scop.coop/odass,,,
Scic Provence Numerique,,fablab numerique,SCIC,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/scic-provence-numerique?field_code_naf=&field_secteur_activite_structure=1874&page=3,,,
Si Avesnois Lab,,Production de services aux entreprises dans le domaine des technologies de l'information et de la communication.,SCIC,Hauts-de-France (FR),,https://www.les-scop.coop/si-avesnois-lab?federation=federations/3/&field_code_naf=&page=41,,,
Socoop,,Conseil en systèmes et logiciels informatiques.,SCIC,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/socoop,,,
Squaregolab,,Atelier de fabrication numérique collectif (Fablab),SCIC,Occitanie (FR),,https://www.les-scop.coop/squaregolab?field_code_naf=&page=20,,,
Ss3I,,Prestations de conseils informatiques et mises en relation de travailleurs indépendants exerçant dans l'informatique avec des bénéficiaires.,SCIC,Île-de-France (FR),,https://www.les-scop.coop/ss3i?federation=federations/3/&field_code_naf=&page=41,,,
Startin'Blox,,"Le développement, la création, l'hébergement et l'administration système de sites Web, d'application mobiles, de logiciels informatiques, de services...",SCIC,Île-de-France (FR),,https://www.les-scop.coop/startin-blox,,,
Yaal Coop,,"Prestations de services informatiques, hébergement de services en ligne et conseils et études en système d'information",SCIC,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/yaal-coop?field_code_naf=&field_secteur_activite_structure=1874&field_type_de_cooperative=1385&page=3,,,
